name,pros_name,pros_gen,ram,ssd,hdd,graphic_card,os,display,touch,warranty,rating,price
HP,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,49990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,14.0,0,1,4.2,41990
HP,Other AMD Processors,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,31990
APPLE,Apple M1 Processor,0,8,256,0,0,Mac OS ,13.3,0,1,4.7,75990
ASUS,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,40990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,34990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.1,33990
HP,Other Intel Processors,0,4,0,0,0,Chrome ,14.0,1,1,3.7,19990
HP,Intel Core i5,11,16,512,0,0,Windows 11 ,15.6,0,1,4.3,52990
Lenovo,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,2,4.2,35990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.4,57990
Primebook,Mediatek,0,4,0,0,0,Prime OS ,11.6,0,1,4.1,13990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.1,33990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,39990
Lenovo,Intel Core i5,12,16,512,0,6,Windows 11 ,15.6,0,1,4.2,78990
realme,Intel Core i3,11,8,256,0,0,Windows 10 ,14.0,0,1,4.4,32990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,45350
HP,Intel Core i5,13,16,512,0,6,Windows 11 ,16.1,0,1,4.2,102990
HP,Intel Core i3,11,8,256,0,0,Windows 11 ,14.0,0,1,4.3,34490
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.3,40999
CHUWI,Other Intel Processors,11,8,256,0,0,Windows 11 ,14.1,0,1,4.5,19990
HP,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,0,1,4.2,56990
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.3,39980
ASUS,Intel Core i3,11,8,256,0,0,Windows 11 ,15.6,0,1,4.3,32990
ASUS,AMD Ryzen 5,0,8,1024,0,4,Windows 11 ,15.6,0,1,4.3,52990
MSI,AMD Ryzen 7,0,16,512,0,4,Windows 11 ,15.6,0,1,4.4,57990
MSI,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,32990
Acer,Intel Core i3,11,8,256,0,0,Windows 11 ,14.0,0,1,4.1,26990
HP,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.2,53990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.3,67990
Infinix,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,30990
Infinix,Other Intel Processors,11,8,512,0,0,Windows 11 ,15.4,0,1,4.1,24490
Lenovo,Intel Core i5,11,8,512,0,4,Windows 11 ,15.6,0,1,4.3,48990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,38490
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.4,66990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,50990
HP,AMD Ryzen 5,0,16,512,0,4,Windows 11 ,15.6,0,1,4.3,62990
ASUS,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.2,34990
DELL,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,3.8,45990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.3,37890
MSI,Intel Core i7,12,16,512,0,4,Windows 11 ,15.6,0,2,4.4,79990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,3.9,29990
Lenovo,Intel Core i5,11,16,512,0,4,Windows 11 ,15.6,0,1,4.3,52990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.4,0,2,4.3,40490
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,54990
ASUS,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,3.9,47990
Lenovo,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.2,65990
Lenovo,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,2,4.2,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,1,1,4.7,65990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.2,34999
Lenovo,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.3,48990
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,1,1,4.4,52990
DELL,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,38890
DELL,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,36990
Acer,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,34990
GIGABYTE,Intel Core i7,12,16,1024,0,8,Windows 11 ,15.6,0,2,4.2,193990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,14.0,0,1,4.3,36999
GIGABYTE,Intel Core i7,12,16,1024,0,6,Windows 11 ,15.6,0,2,4.2,149990
ASUS,Intel Core i5,11,8,512,0,4,Windows 11 ,17.3,0,1,4.3,57990
Acer,Intel Core i3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.3,32990
Acer,Intel Core i5,13,16,512,0,6,Windows 11 ,16.0,0,1,4.4,109990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.3,57990
Acer,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,0,1,4.2,58990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,0,1,4.4,51490
HP,Mediatek,0,8,256,0,0,Chrome ,13.3,0,1,4.2,42990
HP,AMD Ryzen 3,0,8,512,0,0,DOS ,14.0,0,1,3.8,26990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.1,58990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.2,35990
ASUS,Intel Core i5,11,16,512,0,0,Windows 11 ,15.6,0,1,4.2,67990
HP,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,4.1,54990
HP,Intel Core i7,13,16,1024,0,0,Windows 11 ,15.6,0,1,4.7,88490
Acer,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.0,60990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,0,1,4.3,43990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,13.6,0,1,4.8,107910
ASUS,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.3,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,5.0,102990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.2,53990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,4.3,74990
ASUS,AMD Ryzen 9,0,16,1024,0,0,Windows 11 ,15.6,0,1,4.9,119990
HP,Intel Core i5,11,16,512,0,4,Windows 11 ,16.1,0,1,4.4,58990
SAMSUNG,Intel Core i7,13,16,512,0,0,Windows 11 ,15.6,0,1,4.5,89990
Acer,Intel Core i7,12,16,1024,0,8,Windows 11 ,15.6,0,1,4.4,99990
Infinix,Intel Core i3,10,8,512,0,0,Windows 11 ,15.6,0,1,4.1,29990
Infinix,Intel Core i3,10,8,256,0,0,Windows 11 ,15.6,0,1,4.1,27990
ASUS,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,65990
Acer,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,0,1,4.4,72990
MSI,Intel Core i7,13,16,512,0,0,Windows 11 ,14.0,0,1,4.3,67990
SAMSUNG,Intel Core i5,13,8,512,0,0,Windows 11 ,15.6,0,1,4.5,74990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,1,1,4.3,39790
Acer,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,36990
MSI,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,2,4.2,59990
DELL,Intel Core i3,12,8,512,0,0,Windows 11 ,15.0,0,1,4.1,40490
Acer,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.5,73990
SAMSUNG,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,0,1,4.4,79990
DELL,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,4.1,52990
Lenovo,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,0,1,4.4,67990
realme,Intel Core i5,11,16,512,0,0,Windows 11 ,14.0,0,1,4.2,54999
ASUS,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,42990
Infinix,Other Intel Processors,11,4,128,0,0,Windows 11 ,15.6,0,1,4.1,20990
Lenovo,Other Intel Processors,0,8,256,0,0,Windows 11 ,14.0,0,1,4.2,25990
SAMSUNG,Intel Core i7,13,16,512,0,0,Windows 11 ,15.6,0,1,4.7,89990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,13.3,0,1,4.3,68990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,13.6,0,1,4.8,106990
MSI,Intel Core i5,11,8,512,0,4,Windows 10 ,15.6,0,2,4.3,57990
MSI,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.2,42990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,35990
HP,AMD Ryzen 7,0,16,1024,0,0,Windows 11 ,13.3,0,1,4.7,78990
Lenovo,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,2,4.2,49990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,30990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.3,55490
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,35990
Lenovo,Intel Core i7,12,16,512,0,0,Windows 11 ,15.6,0,1,4.0,79990
Lenovo,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.4,33990
HP,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.5,48990
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,3.9,39990
HP,Intel Core i7,12,16,1024,0,0,Windows 11 ,14.0,0,1,4.1,84999
Infinix,Intel Core i7,13,16,512,0,0,Windows 11 ,15.4,0,1,4.6,66990
HP,Other AMD Processors,0,8,0,1024,0,Windows 11 ,14.0,0,1,3.7,23990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,16.0,0,1,4.2,69990
HP,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,3.7,67990
Acer,Intel Core i3,0,8,512,0,0,Windows 11 ,15.6,0,1,3.8,34990
HP,Intel Core i5,11,8,512,0,0,Windows 11 ,14.0,0,1,4.2,58990
ASUS,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,16.0,0,1,4.4,52990
Lenovo,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.5,72990
DELL,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.0,0,1,3.7,35290
HP,Intel Core i3,13,8,512,0,0,Windows 11 ,15.6,0,1,4.1,46990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,4.2,72990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,38490
Acer,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.6,57990
HP,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.5,39999
MSI,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,0,1,4.4,57990
ASUS,Other Intel Processors,0,4,0,0,0,Chrome ,11.6,0,1,3.6,14990
Acer,Intel Core i5,12,8,512,0,4,Windows 11 ,15.6,0,1,4.1,57990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,16.0,0,1,4.3,59351
ASUS,Intel Core i3,11,16,512,0,0,Windows 11 ,14.0,0,1,4.2,36990
MSI,Intel Core i7,13,16,1024,0,8,Windows 11 ,17.3,0,2,4.2,135990
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.5,50990
HP,AMD Ryzen 7,0,16,1024,0,0,Windows 11 ,13.3,0,1,4.7,77990
ASUS,Other Intel Processors,0,4,128,0,0,Windows 11 ,11.6,0,1,4.2,20990
ASUS,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,37990
Acer,AMD Ryzen 7,12,16,512,0,8,Windows 11 ,16.0,0,1,4.2,129990
APPLE,Apple M2 Pro,0,16,1024,0,0,Mac OS ,14.0,0,1,5.0,229990
MSI,Intel Core i7,13,16,512,0,4,Windows 11 ,17.3,0,2,4.2,89990
DELL,Intel Core i5,12,8,512,0,4,Windows 11 ,15.6,0,1,4.3,68790
ASUS,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.5,46990
MSI,Intel Core i5,12,16,256,1024,4,Windows 11 ,15.6,0,2,4.2,61990
Lenovo,AMD Ryzen 7,0,16,512,0,4,Windows 11 ,15.6,0,1,4.5,84990
ASUS,Intel Core i7,12,16,512,0,0,Windows 11 ,15.6,0,1,4.7,115990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,13.3,0,1,4.5,119990
ASUS,Intel Core i3,11,16,512,0,0,Windows 11 ,15.6,0,1,4.3,38990
APPLE,Apple M2 Pro,0,16,512,0,0,Mac OS ,16.0,0,1,4.2,229990
HP,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,0,1,4.1,68990
Infinix,Intel Core i9,12,32,1024,0,0,Windows 11 ,15.6,0,1,4.2,80990
Acer,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.3,52990
HP,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,1,1,4.2,88490
ASUS,Intel Core i7,13,16,1024,0,0,Windows 11 ,18.0,0,1,4.2,169990
Lenovo,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.3,33990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,16.0,0,1,4.0,62990
Acer,Intel Core i5,12,16,512,0,0,Windows 11 ,15.6,0,1,3.9,47990
Infinix,Intel Core i3,11,8,256,0,0,Windows 11 ,14.0,0,1,4.2,30990
Acer,Intel Core i5,12,8,512,0,4,Windows 11 ,15.6,0,1,4.5,71990
Acer,AMD Ryzen 3,0,8,256,0,0,Windows 11 ,15.6,0,1,4.2,31990
Acer,Intel Core i3,11,8,256,0,0,Windows 11 ,15.6,0,1,4.2,34990
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,13.3,0,1,4.6,137990
SAMSUNG,Intel Core i5,12,8,512,0,0,Windows 11 ,15.6,0,1,4.2,56990
Acer,Intel Core i7,13,32,1024,0,8,Windows 11 ,16.0,0,1,4.2,199990
Lenovo,Other Intel Processors,0,4,0,0,0,Chrome ,11.6,0,1,3.5,13990
HP,Intel Core i7,12,16,512,0,0,Windows 11 ,13.5,0,1,4.2,109990
ASUS,Intel Core i3,10,8,512,0,0,Windows 11 ,15.6,0,1,4.3,32990
Acer,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.1,39990
DELL,Intel Core i3,11,8,256,1024,0,Windows 11 ,15.6,0,1,4.1,42890
HP,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.2,69072
Lenovo,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,0,2,4.0,39998
DELL,Intel Core i3,11,8,256,1024,0,Windows 11 ,15.0,0,1,4.2,39960
ASUS,Intel Core i5,13,8,512,0,0,Windows 11 ,14.0,0,1,4.2,55990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 10 ,14.0,0,2,4.0,50990
DELL,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,52890
Lenovo,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,4.3,39990
ASUS,AMD Ryzen 7,0,8,512,0,0,Windows 10 ,14.0,0,1,4.3,57990
ASUS,Intel Core i3,13,8,512,0,0,Windows 11 ,14.0,0,1,4.4,43990
ASUS,Intel Core i7,13,16,1024,0,0,Windows 11 ,16.0,0,1,4.2,152990
ASUS,AMD Ryzen 9,0,16,1024,0,0,Windows 10 ,14.0,0,1,4.8,109990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,14.0,1,1,4.3,54490
MSI,Intel Core i5,12,16,256,1024,8,Windows 11 ,15.6,0,2,4.2,89990
ASUS,AMD Ryzen 9,0,16,1024,0,0,Windows 10 ,14.0,0,1,4.1,99990
Lenovo,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,2,4.1,38990
ASUS,AMD Ryzen 7,0,16,1024,0,0,Windows 11 ,15.6,0,1,4.1,104990
MSI,Intel Core i7,11,16,512,0,4,Windows 11 ,15.6,0,2,4.3,68990
HP,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.6,0,1,4.3,53999
Infinix,Intel Core i7,11,16,512,0,0,Windows 11 ,14.0,0,1,4.5,48990
Lenovo,AMD Ryzen 5,0,8,512,0,0,DOS ,15.6,0,1,4.2,36990
MSI,Intel Core i7,13,8,512,0,0,Windows 11 ,15.6,0,1,4.0,66989
DELL,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,15.0,0,1,3.9,69990
Lenovo,Other Intel Processors,0,8,256,0,0,Windows 11 ,15.6,0,2,4.0,29090
MSI,Intel Core i5,13,8,512,0,0,Windows 11 ,15.6,0,1,3.1,48990
HP,Other Intel Processors,0,4,0,0,0,Chrome ,14.0,1,1,3.8,19990
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,13.6,0,1,4.9,137990
DELL,Intel Core i5,12,16,512,0,0,Windows 11 ,13.8,0,1,4.8,110490
APPLE,Apple M2 Pro,0,16,512,0,0,Mac OS ,16.0,0,1,4.2,229990
HP,AMD Ryzen 5,0,16,512,0,2,Windows 10 ,14.0,0,1,4.2,64700
HP,Intel Core i7,13,16,1024,0,8,Windows 11 ,16.0,0,1,4.2,199990
HP,AMD Ryzen 7,0,16,512,0,4,Windows 11 ,16.1,0,1,4.5,88990
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,13.3,0,1,4.8,137990
HP,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,0,1,4.2,83990
ASUS,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,0,1,4.8,89990
HP,Intel Core i5,13,16,512,0,6,Windows 11 ,15.6,0,1,4.2,116463
ASUS,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,0,1,4.2,43590
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,14.0,1,1,4.4,61990
HP,Intel Core i5,11,8,512,0,4,Windows 11 ,16.1,0,1,4.3,58990
ASUS,Other Intel Processors,0,4,256,0,0,Windows 11 ,15.6,0,1,4.2,22990
MSI,Intel Core i5,11,8,512,0,0,Windows 11 ,14.0,0,1,4.1,40990
HP,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,15.6,1,1,4.2,87490
Acer,Intel Core i5,12,8,512,0,4,Windows 11 ,15.6,0,1,4.3,57990
Acer,Intel Core i3,12,8,512,0,0,Windows 11 ,15.6,0,1,3.9,40990
APPLE,Apple M2 Pro,0,16,1024,0,0,Mac OS ,14.0,0,1,4.2,229990
MSI,Intel Core i3,12,16,512,0,0,Windows 11 ,14.0,0,1,4.2,39990
ASUS,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,0,1,4.4,82990
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,15.3,0,1,4.8,154900
DELL,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,41890
ASUS,Intel Core i9,12,16,1024,0,4,Windows 11 ,13.4,1,1,5.0,161990
Lenovo,AMD Ryzen 7,0,8,512,0,0,Windows 11 ,15.6,0,1,4.5,70890
HP,Intel Core i3,12,8,512,0,0,Windows 11 ,14.0,0,1,4.1,55990
ASUS,Intel Core i5,12,16,512,0,0,Windows 11 ,14.0,1,1,5.0,92990
Acer,Intel Core i5,12,8,512,0,0,Windows 11 ,14.0,0,1,4.4,60990
HP,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.2,56990
Acer,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,14.0,0,1,4.2,58990
Acer,Intel Core i5,13,8,512,0,0,Windows 11 ,15.6,0,1,4.2,54990
ASUS,AMD Ryzen 9,0,16,1024,0,8,Windows 11 ,15.6,0,1,4.2,144990
HP,AMD Ryzen 5,0,8,512,0,4,Windows 11 ,16.1,0,1,4.2,66990
MSI,Intel Core i5,11,8,256,1024,4,Windows 11 ,15.6,0,2,4.3,67990
HP,Intel Core i7,12,16,1024,0,0,Windows 11 ,15.6,0,1,4.2,90490
Lenovo,Intel Core i3,11,4,256,0,0,Windows 10 ,15.0,0,1,4.3,34649
ASUS,Intel Core i7,12,16,512,0,0,Windows 11 ,14.0,1,1,4.2,109990
MSI,Intel Core i7,13,16,512,0,6,Windows 11 ,17.3,0,2,4.5,96990
DELL,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,15.0,0,1,4.0,40990
Lenovo,AMD Ryzen 7,0,16,512,0,0,Windows 10 ,13.3,1,1,4.5,75998
ASUS,Intel Core i7,13,16,1024,0,0,Windows 11 ,13.3,0,1,4.2,149990
DELL,Intel Core i3,11,8,256,0,0,Windows 11 ,15.6,0,1,4.2,38990
Lenovo,AMD Ryzen 3,0,8,512,0,0,DOS ,15.6,0,1,4.2,32990
HP,Intel Core i7,12,8,512,0,4,Windows 11 ,15.6,0,1,4.0,86990
Lenovo,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.0,48990
Lenovo,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,1,1,4.2,64990
DELL,AMD Ryzen 7,0,16,512,0,0,Windows 11 ,14.0,1,1,4.3,82990
Lenovo,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.2,59990
DELL,AMD Ryzen 5,0,8,512,0,0,Windows 11 ,15.6,0,1,4.0,47890
Lenovo,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,2,4.2,39888
HP,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,1,4.2,70890
ASUS,Intel Core i5,13,8,512,0,0,Windows 11 ,14.0,0,1,4.2,55990
HP,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.3,44000
MSI,Intel Core i7,12,8,512,0,4,Windows 11 ,15.6,0,2,4.4,84990
Primebook,Mediatek,0,4,0,0,0,Prime OS ,11.6,0,1,4.0,14990
MSI,Intel Core i7,13,8,1024,0,8,Windows 11 ,15.6,0,1,4.2,179990
ASUS,Intel Core i3,11,8,512,0,0,Windows 11 ,15.6,0,1,4.1,35990
Lenovo,AMD Ryzen 7,0,16,512,0,6,Windows 11 ,15.6,0,1,4.2,87990
APPLE,Apple M2 Processor,0,8,256,0,0,Mac OS ,15.3,0,1,4.8,134900
Lenovo,Intel Core i5,13,16,512,0,0,Windows 11 ,16.0,0,1,4.2,71990
ASUS,Intel Core i5,13,16,512,0,0,Windows 11 ,15.6,0,1,4.2,64400
Lenovo,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,15.6,0,1,4.2,72190
ASUS,Intel Core i9,12,16,1024,0,0,Windows 11 ,13.4,1,1,4.2,296990
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,13.6,0,1,4.4,137990
Acer,AMD Ryzen 5,0,8,512,0,0,Windows 10 ,14.0,0,1,4.5,55990
DELL,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,16.0,0,1,4.6,67490
DELL,Intel Core i3,10,8,256,0,0,Windows 10 ,15.6,0,1,3.8,41590
MSI,Intel Core i5,12,16,512,0,4,Windows 11 ,15.6,0,2,4.7,79990
MSI,Intel Core i7,11,16,512,0,4,Windows 11 ,15.6,0,2,4.2,89990
Lenovo,AMD Ryzen 5,0,16,512,0,0,Windows 11 ,13.3,1,1,4.2,76988
HP,AMD Ryzen 7,0,8,512,0,4,Windows 11 ,15.6,0,1,4.2,70990
ASUS,Intel Core i9,13,32,1024,0,0,Windows 11 ,16.0,0,1,4.2,299990
MSI,Intel Core i7,12,16,1024,0,8,Windows 11 ,15.6,0,2,4.2,125990
Lenovo,AMD Ryzen 5,0,8,512,0,0,Windows 10 ,15.6,0,1,4.0,50990
DELL,AMD Ryzen 3,0,8,512,0,0,Windows 11 ,14.0,0,1,4.2,38650
ASUS,AMD Ryzen 7,0,32,1024,0,4,Windows 11 ,13.4,1,1,4.2,119990
ASUS,Intel Core i5,13,16,512,0,0,Windows 11 ,14.0,1,1,3.4,78890
APPLE,Apple M2 Processor,0,8,512,0,0,Mac OS ,13.6,0,1,4.6,137990
ASUS,AMD Ryzen 9,0,16,0,0,0,Windows 11 ,16.0,0,1,4.2,139990
Lenovo,AMD Ryzen 7,6,16,512,0,4,Windows 11 ,15.6,0,1,4.2,81656
Infinix,Intel Core i7,11,16,1024,0,0,Windows 11 ,15.6,0,1,4.2,52990
DELL,Intel Core i5,11,8,512,0,0,Windows 11 ,15.6,0,1,4.0,52990
APPLE,Apple M1 Processor,0,8,512,0,0,Mac OS ,13.3,0,1,4.7,109990
